ID	Tweet	Affect Dimension	Intensity Score
2018-Es-06763	Recordé que un dentista estaba revisando mis dientes, se quitó los guantes e hizo movimientos obscenos con sus dedos en mi boca. 	fear	0.522
2018-Es-06218	Tremenda pudrición tengo	fear	0.542
2018-Es-01500	@NTN24ve No le pongan cuidado a ese bandido que no tiene pais donde esconderse por corrupto, tambien ira preso y por muchos años!!	fear	0.417
2018-Es-00290	Le dije a Joel que me avise cuando llegue a su casa, hace como dos horas se fue y todavía no le llegan los mensajes.. Preocupación modo on	fear	0.938
2018-Es-06718	Entramos con mi sobrina a mi cuarto, prendí la luz y ella dijo HOLAAAAA! a quién mierda saludó? 	fear	0.583
2018-Es-00241	No hay palabras para describir lo inmenso que es mi papá, la tremenda persona que es, no puedo pedir nada más 💟🤗	fear	0.188
2018-Es-04720	Que nervioso me hizo poner hoy la vieja esa en la escuela jajajajaja	fear	0.542
2018-Es-03344	No hay ser humano, por cobarde que sea, que no pueda convertirse en héroe por amor #Bot	fear	0.333
2018-Es-06150	Me llega de pronto la desesperación y el sinsabor.	fear	0.908
2018-Es-04740	Les juro que si alguien me viera en mi fase de fangirl loca y obsesionada nivel Dios, se asustaría y probablemente no me vuelva a hablar 🙃	fear	0.587
2018-Es-02475	Y esto de la recuperación a casi una semana... Imposible !! #Dolor #desolación #angustia  #tristeza  #perdida #muerte #impotencia	fear	0.896
2018-Es-03578	Más ansiosa que nunca tramitame 43 litros de lejia	fear	0.708
2018-Es-02676	supongo que una se cansa de hacer daño y huye como una cobarde (te dejé de seguir bloqueándote y desbloqueándote, no entré en tu cuenta)	fear	0.565
2018-Es-04883	En 5 días me dicen en que universidad y en que carrera me quedé😱 estoy nerviosa xDx espero que me haya quedado en Medicina *pone changuitos*	fear	0.896
2018-Es-00199	@DebRyanShow #RAYITO tengo cansada la vista estube todo.el.dia en el cel espredando algo nuevo	fear	0.479
2018-Es-05763	Miedo es la primera vez que no puedes hechar el segundo; pánico, la segunda vez que no puedes hechar el primero. #miedo	fear	0.833
2018-Es-03511	curao d espanto,	fear	0.652
2018-Es-03690	El Rhodesia nos da un vistazo de como sería la humanidad si los Coapos hubieran ganado la segunda guerra mundial. 	fear	0.604
2018-Es-01797	Estoy por mandarle un mail a mi ex-tutora para preguntarle si puedo seguir con el tfg #tristeza #morriña #sentimientosencontrados #confusion	fear	0.625
2018-Es-00089	En Venezuela, el tráfico aéreo esta tan peligroso como el terrestre? Ya cayó otra avioneta.	fear	0.875
2018-Es-06663	Si no tienes miedo es que eres un cobarde. 	fear	0.604
2018-Es-04317	Soy tan fobica a las arañas que ni bien veo una o me las nombran las empiezo a sentir por todo el cuerpo 	fear	0.917
2018-Es-04402	Y todavía, sigo perdido en el desierto de tu cobardía te lo dije, que si no lo intentas, no sabrías, y si algún día funcionaría.🎵♫♬	fear	0.458
2018-Es-02196	A pero que lindo que anda el internet 🙄😒	fear	0.125
2018-Es-05230	Ayer antes de irme me salió lo de la escoba y hoy cuando me levanto sigue todo igual. 	fear	0.625
2018-Es-00993	Acá se generó debate acerca de me meto o no en esas camitas simil morgue de Kioto q acaba de mostrar @agustinneglia. Eso se cerrará? 	fear	0.354
2018-Es-05548	@endgamebitch TO TODA ME TREMENDO	fear	0.375
2018-Es-06584	#Terror lo voy captando. La culpa fue nuestra, las víctimas los musulmanes y el ayuntamiendo de Barcelona tomó todas las medidas posibles.	fear	0.813
2018-Es-02148	Alguien sabio me dijo hace tiempo, el arma letal del ser humano,  La lucura, ese día la escuche como una profecia y con incredulidad 	fear	0.396
2018-Es-06251	@negrabh Qué pasó Eimmy? 🙁	fear	0.438
2018-Es-05196	@solm_ferzm Nota mental: no volverme a quedar a dormir en tu casa. 	fear	0.604
2018-Es-06847	@AlfonsinaVin Gracias loca! Vení al brindis, estoy con algunos amiguitos. Me pintaron la calle rre nerviosa estaba jeje	fear	0.417
2018-Es-05031	feliz día del amigo a la persona que perdió 200 pesos en la casey para que los encuentre yo. que sepa que la amo	fear	0.261
2018-Es-05450	No lo veo como venganza, es más como justicia poética, espero...	fear	0.521
2018-Es-01582	@TaquitoDeCecina Tiene muchos retuits. 😟	fear	0.292
2018-Es-06374	Que no cunda el pánico	fear	0.625
2018-Es-01186	#AlertaYihadM4 ¿Qué pretendéis diciendo a la población que está en manos de negligentes q ni siquiera atienden alertas de Bélgica? #Terror	fear	0.688
2018-Es-01012	El único peligro de tener una #hotwife que terminarás loco enamorado de ella.	fear	0.458
2018-Es-01288	@aguschimpf Upa, tremendo salto del gueymallen triple blanco a un Starbucks	fear	0.375
2018-Es-00015	Qué odio y desesperación estar tan lejos de Tito en este momento! Unas ganas de abrazarlo fuerte, mi sol😳.	fear	0.500
2018-Es-00994	@ValeDesavado Jajajaja y si, ni la alarma de tu casa te despierta hdp	fear	0.292
2018-Es-04813	Ahora me agrego a snap 	fear	0.229
2018-Es-00158	@Muzskatolista Eso de "sin ofender" sobra en Twitter	fear	0.261
2018-Es-03392	Me da cosa que se valla asi! Ese dia voy  andar todo el dia preocupada😓	fear	0.688
2018-Es-00929	son como Juan Carlos sacando una tirada de engaño tres para envenenar a alguien "toma este veneno DIGO... ESTA FANTA"	fear	0.500
2018-Es-02270	Mientras el cobarde reflexiona, el valiente va, dstua y regresa victorioso.	fear	0.333
2018-Es-00553	estoy mirando una peli de terror con las amiguitas de mi hermana y se estan asustando con una peli mas boliviana q yo	fear	0.544
2018-Es-06482	@EmiBrez Te odio	fear	0.521
2018-Es-02655	Kimberly me tiene más nerviosa	fear	0.792
2018-Es-05803	y yo le tengo pánico a usar bikini vieron q soy re imbecil	fear	0.887
2018-Es-04554	@Norwichtty Buenas, señorita. Algo aburrida, usted?	fear	0.188
2018-Es-00145	Caliéntame con besos que yo no me enojo por eso.	fear	0.146
2018-Es-06003	@DebRyanShow #Rayito turbo nervioso⚡️	fear	0.625
2018-Es-00509	Odio ser tan ansioso	fear	0.771
2018-Es-06109	Golpeas pataleas y haces berrinche porque no quiero ser tu novio 😝#JustFriends	fear	0.370
2018-Es-04806	Fíjese este momento @alinroberto , nos está leyendo @cocosaez y se hace él desentendido y guarda silencio. Le tiene pánico a la dama.	fear	0.646
2018-Es-06424	RT DianaferValle: Ser universitaria te lo defino como estar y tener una depresión,enojo y estrés más grandes que los de Hanna baker litera…	fear	0.696
2018-Es-03548	desde q me entere q entregamos la 🗝️🔑 estoy muy desanimada...😟	fear	0.583
2018-Es-00839	Chicos recomendarme un juego de terror. Pero terror de verdad estilo PT! 👻  #terror #miedo #pc	fear	0.646
2018-Es-00573	Tremendo sueño tenngo	fear	0.304
2018-Es-03446	Es que no existe temor cuando se prende el corazón...	fear	0.313
2018-Es-04518	@SardellaAgustin Estoy escuchando el mismo tema x la misma parte y justo lei tu tw lpm 	fear	0.250
2018-Es-01602	Desde ayer que vengo súper alterada y nerviosa con náuseas, y en casa me dijeron yyyy bueno MANDALE AL TILO  deja prefiero un vino	fear	0.750
2018-Es-03702	Mañana voy a lo de la colo y quiero ver películas de terror pero no me va a poner pq no le gustan	fear	0.563
2018-Es-01431	Tengo una ansiedad xq mis niños hagan la comunión y a la vez será mi primera comunión como catequista 😇	fear	0.750
2018-Es-03769	LN la cerrrrda,te quieroo pesadilla	fear	0.396
2018-Es-04280	De esto que estas a las 5:30 en la calle, como toda persona normal, te suena la alarma y retumba por todo Maliaño 😂😂😂🖒	fear	0.292
2018-Es-03324	Estoy viendo el primer capítulo de AHS con una amiga y tengo 	fear	0.370
2018-Es-05961	@florenciagerez_ Jajajajajaj tomatela cara rota esa sos vos 	fear	0.174
2018-Es-03625	Va a estar tremenda la pelea esa ya en el primer cruce se dijeron de todo	fear	0.333
2018-Es-06279	@CNT_EC tengan la gentileza de reparar el servicio de internet en mi casa! Es terrible que todos los días tenga problemas con la conexión	fear	0.396
2018-Es-04841	No me habla nadie terrible garron jaja	fear	0.458
2018-Es-01845	Mi superagenda handmade me dice hoy:"Por cada minuto que estas enfadada pierdes sesenta segundos de felicidad"😀😀😀	fear	0.396
2018-Es-06700	No hay mal que dure 100 años ni cuerpo que lo aguante!!! Gracias a muchos por su preocupación 😽😽😽	fear	0.435
2018-Es-06384	Lamentablemente soy muy sensible y cualquier tonteria me hace daño.	fear	0.604
2018-Es-06853	Mi sobrina sigue en cama. No ha comido en varias horas. Parece que la energía del cuerpo se le ha ido. La luz le molesta un poco. #tristeza	fear	0.729
2018-Es-04443	Tremenda angustia tengo jajaja	fear	0.761
2018-Es-02277	Me siento tan desanimado de todo... Supongo que algún día esto me tendría que pasar.	fear	0.646
2018-Es-04188	@CarlosBasombrio ☀️deseamos ir al centro histórico, pero no hay #Seguridad , Adios visita  #Santuario de #SantaRosa  Y #Mistura 2018 	fear	0.583
2018-Es-06376	#AlertaMeteorologico no te tengo 	fear	0.413
2018-Es-00472	Tu cuerpo será mío, te llevare a la cama, te haré sudar y temblar. Te dejaré sin fuerzas. —Att: La gripe.	fear	0.391
2018-Es-03353	tenía re abandonado twitter literal😂😂	fear	0.167
2018-Es-00255	No coger los auriculares ha sido totalmente ilegal 	fear	0.396
2018-Es-06940	@NoticiasVenezue En claro signo de desesperación por verse descubierto el gigantesco fraude cometido a la nación.	fear	0.717
2018-Es-02417	Que lluvia de mierda 	fear	0.479
2018-Es-05607	En mi casa siempre se caen cosas y 	fear	0.729
2018-Es-04716	#SelenasNewSingleOutNow he escuchado una parte de fetish y es re hermosa, voy a morir de la desesperación ahr	fear	0.438
2018-Es-05953	@selene_pauluna Espero valga la pena!!!! 😅 😅	fear	0.188
2018-Es-01704	@Lucas_Castel me vas a hacer llorar lucas	fear	0.625
2018-Es-04215	Ayer me baje dos juegos de terror y me da cosa jugarlos🙄	fear	0.771
2018-Es-04199	@EspiralCanal11 que tema, esta muy bueno y casi no se toca entre nosotros los hombres por temor a ser criticado	fear	0.587
2018-Es-03999	@violekraut cuando quieras lisiada ;)   terminé de leer el tuit y se me autoguiño el ojo #miedo	fear	0.688
2018-Es-02500	@zaurendrunks Cállate señorita venganza	fear	0.391
2018-Es-03310	puedo parecer cool y lo soy, pero realmente soy una pendeja con mucha ansiedad, depresión y sueños en la basura ¿:D?	fear	0.708
2018-Es-03197	Toy re triste me dejan	fear	0.542
2018-Es-00901	Madurar es poder sonreír frente a esa persona que te hizo llorar.	fear	0.188
2018-Es-06182	@abbigailnz Jajajajaja cuál es la sorpresa amiga?	fear	0.208
2018-Es-03189	Se enojo por que le hacerte el nombre😂😂	fear	0.250
2018-Es-02630	@globitohuracan Tremendo un avión tirado en el piso	fear	0.542
2018-Es-03235	Creo que karol hizo bien en no ir a fans, estoy segura que se iba a sentir incómoda con las preguntas que seguro le harían	fear	0.565
2018-Es-06408	¿Neta CDMX? 3 bloqueos en toda la ciudad. 3 pinches bloqueos y perder 3 horas en el tráfico. ¿Neta? 😠😠😠	fear	0.521
2018-Es-04807	@GusMenFox @clubleonfc Muy feo!! Horrible se ve la publicidad !!	fear	0.688
2018-Es-01088	@Vibra1049   @LeonardoUrregoM permíteme tener dulces sueños con manillas.... No dejes que siga en la pesadilla de no ir al #VibraTYM 😍	fear	0.500
2018-Es-05304	fina pero en la cama tremenda sata	fear	0.313
2018-Es-04492	Tengo un corazón terco, tonto, raro, impredecible, temeroso y muchos defectos más; pero que sabe amar como pocos aman	fear	0.413
2018-Es-06622	Este es un mensaje encriptado y sólo las personas con coeficiente intelectual lo pueden leer.  	fear	0.125
2018-Es-01313	Quemada es poco😤	fear	0.438
2018-Es-00326	Ayyy que horror casi entro a wpsss	fear	0.846
2018-Es-05699	@VickyFH_2891 Te acordas de esto? Es cuando recién empezaba todo el año pasado 😰 que horror	fear	0.625
2018-Es-00129	@guillermochoa Siiiii por favor 🙁	fear	0.229
2018-Es-00798	Estar durmiendo y que te despierten las voces de un atraco.... #susto 😩	fear	0.979
2018-Es-05237	@zoidoJI Lo siento de corazón ❤️. Mucha fuerza le envió desde Galicia . 	fear	0.458
2018-Es-00495	@BuffaloWingscol ☡ resulta alarmante  la  situación  señalada, requiere de respuesta de fondo y clara. Da cuenta de irregularidad. ☡	fear	0.604
2018-Es-03873	Cuando una niña sospecha de otra niña, nunca falla.	fear	0.375
2018-Es-04407	No sabía que estabas tan desesperada, chére.	fear	0.505
2018-Es-06757	Imagino la indignación, preocupación y rabia de turistas que eligieron Perú para disfrutar y al final pasarla mal. La indiferencia es peor.	fear	0.625
2018-Es-01880	Muero de la risa escuchando a Esdras como le tira a Mel,  en lo que quedaron, es terrible los políticos en este país.	fear	0.413
2018-Es-01168	@la_huitlacocha Hazlo piede que te tenga una sorpresa 🙉🙉	fear	0.196
2018-Es-03323	Unas pelis de terror👌😝 @lolo_ok02 	fear	0.542
2018-Es-02403	@CaroThompson2 Las letras reflejaban la depresión que llevaba el loco	fear	0.646
2018-Es-05808	Soy el terrible farsante oe	fear	0.432
2018-Es-00759	@ManuelBartual Ah no, se viene contigo? 	fear	0.292
2018-Es-05850	Qué horrible no poder confiar, sentir que te harán daño otra vez y no saber cómo huir sin mirar atrás!!	fear	0.875
2018-Es-01812	El PERÚ está cansado de tanta Podredumbre Porquería y Kagadas del PresidenteDeLUJO!  No acierta una! Se dispara a los pies! NO AMA AL PERÚ!	fear	0.583
2018-Es-01545	Sigo indignada. Como vamos a usar NEGROOO??? Diablo perdónalos no saben lo que hacen 😂😠👊	fear	0.583
2018-Es-04692	Detesto que la gente que esta deprimida llegue a ponerlo a uno igual o peor.	fear	0.565
2018-Es-01346	Me pronostican lluvia toda la semana. #Depresión	fear	0.587
2018-Es-00836	La ironía que amo las plantas y nunca me regalaron ni un ramo de flores cortado de una alguna casa #Tristeza	fear	0.354
2018-Es-04606	@arcasmarc1 @PPopular @_virginiavargas Para qué hablar de derechos humanos, si con insultar basta no crees?	fear	0.417
2018-Es-03161	YO CREO que el único corto de casita del horror con kodos y kang que vale la pena es cuando maggie resulta ser su hija.	fear	0.542
2018-Es-02229	yo no soy de amenazar me gusta hablar con echossssss...	fear	0.208
2018-Es-00261	No hay nada mas peligroso qué una mujer herida #LaNocturna	fear	0.717
2018-Es-03535	No hay terrorismo en Araucania dice @marcoporchile en @elinformanteTVN  muy de acuerdo contigo!!!	fear	0.292
2018-Es-00656	Bueno... todos son unos malditos idiotas. Ya entiendo el resentimiento #Feminazi	fear	0.521
2018-Es-04110	Dile a tu alma que no sea cobarde...🎶🎧	fear	0.438
2018-Es-01519	Y yo pensé q una estrella fugaz era una estrella muy bonita q tenía miedo de brillar, y huir lo más lejos posible. Un poco como tú, como yo.	fear	0.458
2018-Es-01741	Siempre sale uno enojado cuando jugamos a la lotería😂	fear	0.375
2018-Es-02120	Qué rabia que tengo y me tengo que ir a cosoooo	fear	0.479
2018-Es-01751	@El_Intermedio Estoy alucinando con las razones expuestas por los universitarios catalanes: mucho eslogan y nada de contenido #triste	fear	0.583
2018-Es-06876	Ansiosa y estresada estoy y no tengo tiempo para nada... pero bueno, esa ha sido mi pequeña reflexión de hoy😊 (tmb es xq me estoy leyendo +)	fear	0.630
2018-Es-03729	Todo lo bueno tiene algo malo, si este mes está bien no quiero saber el mes que viene  	fear	0.563
2018-Es-00566	@JafetLuza colapso nervioso (culpa de dejar la medicación, sospecho) en medio de un examen. Una cosa humillante :(	fear	0.875
2018-Es-06742	Christopher no sabe ni guiñar el ojo pero hace ese intento de tic nervioso y tiene a miles de rodillas, pásame el tip papi	fear	0.354
2018-Es-05864	Odio que se metan 	fear	0.521
2018-Es-04778	Temes mas a lo que no puedes ver que a lo que ves y te hace mas daño.... 	fear	0.688
2018-Es-01418	Mi huerta necesita agua con desesperación y yo me duermo.	fear	0.646
2018-Es-04581	No soy tonta, no soy mala y no soy cobarde.	fear	0.397
2018-Es-00297	Nada más caja que leer conversaciónes antiguas con "amigos" jajaja que horror	fear	0.348
2018-Es-05257	Y por miedo a perder, termino perdiendo siempre.	fear	0.813
2018-Es-04016	Dios bendice al pueblo de Venezuela en esta horas de oscuridad, que llegue la luz!!!	fear	0.521
2018-Es-06713	@NANCYPAZOS manipularon los resultados de las Pazos... ahora una mesa pro militar...	fear	0.354
2018-Es-06177	"¿Se puede ser valiente cuando se tiene miedo?"  "Ese es el único momento en que lo puedes ser."	fear	0.667
2018-Es-01590	Menos mal que remata al suelo! 	fear	0.354
2018-Es-04193	Horas antes de un final mi cerebro no tiene mejor idea que tener un colapso nervioso por cosas que nada que ver 😩😩😩	fear	0.667
2018-Es-03301	y ella tenía un re orto podría ver triste cansa pero tenía terrible orto	fear	0.396
2018-Es-05167	Ah y se me abrió todo esto en la cuenta de mi hermano y cuando quise cambiar le perfil veo q el perfil de mi hermano no tiene cara 	fear	0.542
2018-Es-04866	28. Soy tímida pero cuando tengo confianza me descontrolo ahre	fear	0.333
2018-Es-00900	@noticiarepretel Peligroso algo sabe guima acuerdese que el hijo es celso	fear	0.688
2018-Es-00937	@laufer4 @balfederico Muero x saber q pasó hoy en la sentencia.  Muero x saber q pasará mañana en LAM #miedo	fear	0.729
2018-Es-02494	Keiko no tiene nada que ver con lo de Montesinos!Él se tomó atribuciones que no debía!El Fujimorismo es el principal opositor al terrorismo!	fear	0.438
2018-Es-04364	@Hinzulina @niggavm03 Bebe que te he dicho de hablar con gente de color oscuro? Ni la hora se les da, vente.	fear	0.457
2018-Es-04171	@isnardobravo q horror! a esos también hay q quemarlos x malos...	fear	0.804
2018-Es-03776	#ANCentral la medida de coerción procesal penal de prisión preventiva sera infundado, pues ni existe peligro procesal	fear	0.458
2018-Es-00953	@joseman15749101 @Luisito_EE @ElementalCCR @PouLegion @SokingRcQ @Xerezano_cr @colton_wall @RomK7_CR Informante mas antes de insultar	fear	0.458
2018-Es-02931	Me tiene cansada, te deseo lo peor pero yerba mala no muere 😠	fear	0.396
2018-Es-01043	@Sofiaaaeiou_ ¿Cuál es la pelea? Jajajajajaja la chismosa.	fear	0.188
2018-Es-05499	No hay peor amor que el que no se da por miedo a que te dañen.	fear	0.583
2018-Es-05165	@JuliannaHdz Deberías pasarme tantito pegue 	fear	0.155
2018-Es-04236	Se ve que es hiper difícil preguntar en lugar de que te llueva el cabreo de la otra persona y encima llamarle amargado. xD	fear	0.396
2018-Es-04276	@MabelQuibrera ya me habia asustado amigaa eb	fear	0.696
2018-Es-00731	@ponchito_rubio Es el requisito número uno para ser papás we jajajaja echarse un caldazo hirviendo para combatir fuego con fuego. 🔥	fear	0.292
2018-Es-03459	@nahuivan15 innecesario comentario en mi opinión. Es q me ponia nerviosa man ataje mas q vos. 1 solo gol me hicieron	fear	0.565
2018-Es-03406	Y toda la NFC norte perdió hoy 🙁 #NFL	fear	0.333
2018-Es-00777	Vale tanto y yo no me había dado cuenta! 	fear	0.333
2018-Es-05045	Mi mama: "no no, no estoy enojada"  Yo: no se si te creo que no estoy enojada jajaja	fear	0.326
2018-Es-04966	Como extrañaba a Manu, me hacia bruta falta, y hoy que andaba re mal me hablo, tremendo amigo, aunque medio histérico pero lo amo igual	fear	0.375
2018-Es-06534	@fedeedelseri QUE DEPRESIÓN	fear	0.646
2018-Es-01446	Domingos,en @radioiris7:13-15h:#Rumbas|16h,'SCANNERS:#Cine #BladeRunner #Mother;resto #2017|23h:INSTRUMENTAL|24h,'NOVIEMBRE NOCTURNO:	fear	0.229
2018-Es-02647	—Al escuchar el cierre del vestido abrirse, el mayor dio un sobresalto.  Su expresión fue un poema, porque incluso agachó la cabeza para +	fear	0.438
2018-Es-01328	Todos estos días he estado durmiendo demasiado mal. No sé si es el país o mi ansiedad natural.	fear	0.761
2018-Es-02999	@PaabloCarballo @felixsquash @LucasCsir23 @NicoFl2015 @leoferro5 @YamiLaCsir Nervioso yo??? Te pica el culo porteño. Amarguísimo	fear	0.417
2018-Es-06630	No pensé que correguir exámenes fuera tan pinche cansado 	fear	0.313
2018-Es-05331	Cancele la suscripción a Netflix, hijos de puta me sacaron American Horror Story. Ojala se fundan los hijos de puta	fear	0.417
2018-Es-06070	HIJO DE TU REPUTOSIMA BOMBA PERRA ESTUPIDA BABOSA MADRE😡😡😡😡😡😡😡sin ofender a su mama no la conozco es solamente una expresión de odio así el	fear	0.354
2018-Es-06432	Soñé cosas super raras 	fear	0.563
2018-Es-03811	Me olvide la ansiedad	fear	0.413
2018-Es-03089	@amparychilena @Cooperativa Tipico de amargada,que triste tu vida pabree,y tontorrona🙊	fear	0.396
2018-Es-01203	Tremendo estalcaso con mg incluido jaja	fear	0.313
2018-Es-02129	Próxima semana al casino $$$$$ #Suerte #Miedo	fear	0.813
2018-Es-03731	Tengo una especie de obsesión con formar una amistad con mis ex parejas. Me parece terrible la idea fingir que nada ocurrió entre nosotros.	fear	0.500
2018-Es-06882	Me da miedo encontrar a alguien con quien me encariñe mucho y que después se vaya. 🙇🏻‍♀️	fear	0.854
2018-Es-02408	Estoy viendo un especial de Linkin Park y no tenía la menos idea de el motivo de eso. Que lamentable 😔😑	fear	0.479
2018-Es-04914	una compañera del colegio subió la foto de su bebé y parecía tener una tenaza en vez de pie 	fear	0.417
2018-Es-01399	No nos dejemos intimidar, todos salimos el domingo a las calles a ejercer nuestro derecho. #ConsultaPopular	fear	0.303
2018-Es-01660	Iría a molestar a mi amiga Laura porque estoy tan aburrida. Pero esta re frío.	fear	0.229
2018-Es-05077	@Teeo16_ la depresión existe	fear	0.500
