ID	Tweet	Affect Dimension	Intensity Score
2018-Es-02732	[20/7 1:21] Juli: A ésta hora tendríamos que estar tomando [20/7 1:21] Juli: Chupadas [20/7 1:24] Juli: Yendonos en sangreeeee ✨FELIZ DÍA✨	joy	0.563
2018-Es-06259	Nube, regresame las estrellas yo quiero encontrar la más brillante de ellas,  sueña corazón💙😇🎶	joy	0.542
2018-Es-02805	Cosas que hago que al parecer no le molestan a nadie: -Respirar  -Comer -Existir 	joy	0.318
2018-Es-05600	@_Enri2_ Cuentaaaa! No me podré dormir hoy sin saber!! 	joy	0.292
2018-Es-05161	@arca_fidelidad ¡Hola! Es un gusto ayudarte, me brindas tu número vía DM, por favor.  *Moy.	joy	0.500
2018-Es-02292	Lo mejor es confiar en que vas a pasar el examen con lo poco que se te grabo en clase 	joy	0.458
2018-Es-03590	31 la mejor por lejos, te adoro un monton, nunca me faltes, responde algo lindo o borro el tw 	joy	0.521
2018-Es-01115	A veces, lo que una persona necesita no es una mente brillante que le hable, sino un corazon paciente que le escuche.	joy	0.521
2018-Es-03480	Cerrar el día con él al lado. Sólo eso pedía y eso tengo, gracias 	joy	0.792
2018-Es-04150	@ZauberinB Buenos días !!! A por él 	joy	0.512
2018-Es-06172	@IsaCamargoSoto Siiiiiiii verdad mañana es festivo, me confundí	joy	0.604
2018-Es-03556	Debería estar haciendo una tarea de adoctrinamiento izquierdista, pero me la paso por el forro y mejor estoy cantando alegremente =D	joy	0.646
2018-Es-02947	Pido mil aplausos.	joy	0.563
2018-Es-06134	@luciashan_poo Tómese una pastilla 😃	joy	0.438
2018-Es-00245	Si saco la licencia el jueves, no puedo usar el carro el viernes porque tiene restricción, puta sal 	joy	0.188
2018-Es-04823	Me tengo que hacer análisis, ya estoy sintiendo el llanto 	joy	0.188
2018-Es-05535	@ElmemoV De hecho que si, pero es algo casi imposible, la única solución es que se me joda el cel 	joy	0.208
2018-Es-02285	Tengo tres dias sin fumar mota, me siento orgullosa jaja.	joy	0.565
2018-Es-06405	Sonreír siempre ha sido más fácil que explicar por qué estás triste	joy	0.271
2018-Es-02564	La fundadora de mi academia de piano es una señora viejita y orgullosa de sus éxitos. Espero poder llegar a ser como ella!!	joy	0.896
2018-Es-00251	@goldevenezuela La prohibicion es solo para funcionarios chavistas. 😅	joy	0.563
2018-Es-03911	Qué onda sonreír y que los cachetes te tapen la mitad del ojo?	joy	0.708
2018-Es-04287	6:45 go to badajoz. Empieza la época con cambios 	joy	0.479
2018-Es-06941	Mi bien ponderada @piCkOL, ¡feliz cumpleaños! Me tomo tres cervezas a tu salud. Abrazo grande pa' ti.	joy	0.729
2018-Es-05404	Una locura, baila orgulloso, hoy se presenta este corazón alegre y caprichoso	joy	0.729
2018-Es-06827	11:45 @Bryan_SKabeche @Eddy_SKabeche Los amo demasiado,gracias por hacerme sonreír siempre😍❤️	joy	0.875
2018-Es-00737	@doctorconejo ¿ Qué?   ¿ A cualquiera le pasa no?  *escondiendo la tercer crema para peinar* 😅	joy	0.326
2018-Es-05711	Yo me encargo del presente el futuro es asunto de Dios 	joy	0.436
2018-Es-05990	@guaperro1 Demasiado dulce 😅	joy	0.563
2018-Es-06680	@Morgenstern2707 Y tú a mi 	joy	0.417
2018-Es-04580	La Selección De #Panama Es Muy Conformista, Jugar Bien Y No Ganar Es Aplauso Y Victoria? Hasta Cuando Con Eso? #CopaOro	joy	0.354
2018-Es-03414	@VallOPerroLoco Juega :v los juegos friv alv :v	joy	0.417
2018-Es-02703	@lennycia Jajaja...  Ya seee 	joy	0.458
2018-Es-01249	@Aaron070604 Estoy muy feliz en estos momentos de mi vida. Que significa que ando conociendo chicas 😄	joy	0.913
2018-Es-00796	@Natrioshka Yo a veces entro a twitter solo para leer a esta mujer. 😀 Un saludo srta!	joy	0.457
2018-Es-05689	@Punchline04 Jajaja dale, de ti dependerá mi credibilidad aquí 	joy	0.542
2018-Es-01422	@Dabeeche Ya veía donde le pegaba los besos a Gohan 	joy	0.413
2018-Es-00414	@armymxvotes @BTS_twt Sería divertido xD #BTS #ARMY #KCAMexico	joy	0.646
2018-Es-02369	4 Temporadas 4 temporadas para que se dieran el primer beso y yo emocionado como niño con una paleta del chavo. Algo va mal en mi vida.	joy	0.542
2018-Es-06671	@BBarbip Jajajajajajaja no puedo, es de confidencialidad eso 	joy	0.563
2018-Es-02980	Me gustó el anuncio de #TAKIS, el del "ex" jajajajaa 	joy	0.688
2018-Es-02104	@darlyssolanof @VictorBolivarM @AnaMarcelaPint0 Yo no hice bloqueo 	joy	0.292
2018-Es-04596	@Naano_MB Jajajajajajaja estamos enfermos 	joy	0.750
2018-Es-03605	@LeSarcastico Esos "influencers" son un desmadre 	joy	0.333
2018-Es-05026	#MeAlegraElDía Una sonrisa especial, de una persona muy especial.	joy	0.936
2018-Es-00868	Los efectos en star wars me encantan, es genial ver cómo se esforzaban antes para que todo pareciera real.	joy	0.604
2018-Es-04375	Si hay algo q me da miedo es equivocarme de grupo y mandarme el moco del año o de la vida 	joy	0.326
2018-Es-00020	Ya comienza a darme hambre; esa es buena señal 	joy	0.479
2018-Es-06841	@futpicante La expresión es divertida, soez claro pero nunca homofóbica. Considero una agresión a nuestra cultura el prohibirnos expresarnos	joy	0.500
2018-Es-00537	Anoche soñé que los monstruos del Festival del Terror de Six Flags me perseguían. Mis preocupaciones son muchas 	joy	0.102
2018-Es-04299	Me dan risa los memes de 3 doritos después, pero tambien me ponen triste.	joy	0.396
2018-Es-01890	Quisiera volver a tener 17 mi vida era más divertida 😩	joy	0.229
2018-Es-01697	@moontxars Que afortunada es Crystal.	joy	0.565
2018-Es-02454	@Karinabarbosa kari? Te refieres a . .  "orco" el de la serie animada . . . . . He-Man?	joy	0.378
2018-Es-02305	Y fue en ese momento donde me Di cuenta que perdí lo único que me hacía sonreír día a día :(	joy	0.146
2018-Es-06694	Zuckerberg como no me venís a tocar el himno de la alegría con la quena, guampudo.	joy	0.478
2018-Es-06458	No hay cosa que me alegre más el día que ir guiando y ver un perrito en la ventana otro carro jugando con el viento :')	joy	0.705
2018-Es-01205	@zumbado_valeria Yo sé que es duro amiga, pero te amo 	joy	0.500
2018-Es-04385	@bravedreammer @marcelosopla @zinxsoficial pelotuda jajjajaj 5 años de comu y se comunican con gifs 	joy	0.563
2018-Es-01824	Me voy con esto mucho desconocimiento de muchos en política deben ser más objetivos en sus apreciaciones. La ligereza en la misma es mortal	joy	0.283
2018-Es-05227	@YamelPO97 A mi me estresan pdl pero no puedo dejar de verlos 	joy	0.348
2018-Es-03052	El mejor fin de semana 	joy	0.813
2018-Es-01277	Soy la más emocionada porque ya puedo poner emojis a mis contactos 🎉	joy	0.826
2018-Es-02773	@_Laura24 Esta bien hableme que yo no soy orgulloso	joy	0.450
2018-Es-06168	Uy la paraste de pelo 	joy	0.292
2018-Es-00909	@Marielle_Lovee @Gee_Matas @BIackppIvlnes @PauletteGold No me estén asustando por favor 	joy	0.370
2018-Es-02012	#CaniggiaLibre que pelotudossss jajaj los amo 	joy	0.739
2018-Es-06319	Ah ya que estoy emocionada 🙆🏻🙆🏻🙆🏻	joy	0.729
2018-Es-00956	Tan rico un mensaje que me animé, me alegre la noche, que me sienta querida!	joy	0.667
2018-Es-02990	Tu eres mi felicidad #SebastianVillalobos #PDCs #SaaKTrendy #KCAMexico	joy	0.854
2018-Es-02131	Acá bien alegre con mi laboratorio de mate pa' mañana	joy	0.609
2018-Es-00021	Estoy muy contento 😋😋😋 #FelizLunes #LunesDeGanarSeguidores #Contento #25Sep	joy	0.938
2018-Es-04801	No hay cosa más divertida que ir con @Tanvillegasc a ponerle etiqueta a todos los outfits 😂	joy	0.783
2018-Es-01425	Tomó coca cola y leo ganglios de la base 	joy	0.333
2018-Es-05236	@dani_moram Legalmente tenia ganas de quedarme ahí tirado 	joy	0.333
2018-Es-00219	¿Por que tanta curiosidad a la hora de saber quién es el afortunado?  Si en realidad eres Tú...	joy	0.396
2018-Es-02275	@DebRyanShow no sé si me debería de dar pena o alegría de que ha sido de puro #Rayito	joy	0.417
2018-Es-05261	que partida emocionante agora, holy	joy	0.740
2018-Es-02589	@maria208055 @tonysan777 Yo solo os acompañaré una semana, pero os animaré la que os queda!	joy	0.583
2018-Es-00179	@Anndy5000 Esta Andy XD 	joy	0.458
2018-Es-03152	@vannemagic Ah! Pues si... 	joy	0.326
2018-Es-03202	@GolDNakama Probablemente los personajes de ese anime son de la raza de Cuellos de Serpiente. Al parecer se escaparon a otra serie 	joy	0.375
2018-Es-02219	Hoy es otro de esas días dónde no puedo dormir y mañana tengo que madrugar, que dicha.	joy	0.375
2018-Es-02447	Me toco la mejor taxista, volumen justo y terremoto pa tu cola, olvídate que mujer tan agradable	joy	0.500
2018-Es-05581	@Maribolika ¿Qué se te antoja? 	joy	0.217
2018-Es-03109	Odio usar el celular cargando es como que me envenena mucho 	joy	0.065
2018-Es-00894	@vito_cfc @SSFE2017 Jjaakjak , pronto lo haré 	joy	0.500
2018-Es-01207	Jamás me voy a negar a eso 😊	joy	0.396
2018-Es-05472	Diablo ni yo me lo creo 	joy	0.188
2018-Es-04689	@DimeChampy JAJAJA, ahora si me hiciste reír 	joy	0.833
2018-Es-05797	@YazminCantuT Aplausos a la. Suegra	joy	0.559
2018-Es-05145	@TamezGaby Cada día te ves más hermosa y que hermosa sonrisa tienes saludos desde aquí cerca desde Cozumel bendiciones 😘	joy	0.708
2018-Es-04054	@JannaMaciel @Erimily_C Hahah que vaa! No hay tamaño pa dedicarse a eso, ya quisiera yo😢 Janna, si me hago famosa ya tu sabe, contratada 	joy	0.500
2018-Es-03186	Un domingo muy diferente a los que estoy acostumbrado a pasar fue el de hoy 😊	joy	0.604
2018-Es-05142	@AwadaNai la mala suerte del gato fichame la cara de help me pls	joy	0.250
2018-Es-03595	#LaPrimavera #Vichada, en cada corazón de los colombianos late el orgullo por nuestra patria ¡Feliz #20DeJulio! #UnLíderParaTodos	joy	0.717
2018-Es-06116	Me siento muy orgullosa de lo que he logrado	joy	0.813
2018-Es-01772	En Maipú hace falta una peluquería ATR 	joy	0.250
2018-Es-03073	Y por los hombros le agarra /de puntitas/ para que pare de ejecutar dicha acción.   — Eso es mentira, Lotte. ¿Quién te ha dicho eso?	joy	0.271
2018-Es-03071	Hay gente que merece que le hagas una diapositiva en un pendrive explicándole todo y asi pueden irse a L.C.D.S.M 	joy	0.146
2018-Es-01717	@mariobautista_ Nos vemos muy pronto, estoy muy orgullosa de ti gracias por todo🙈❣️	joy	0.739
2018-Es-02215	@Bordeline10 tampoco me interesaba la verdad , solo que soy demasiado bueno recordando caras . No tengo ningun otro “talento” 	joy	0.354
2018-Es-02571	Ambos ojos amplió por las acciones ejecutadas por el más alto, aunque no le molestó en lo absoluto; solo se estremeció por dicha acción. >	joy	0.333
2018-Es-03158	Frecuentemente se castiga, le pone trabas a la alegría sin entender, sin entender que lo tiene todo	joy	0.229
2018-Es-01482	@futpicante @Faitelson_ESPN la mesa se volvio un circo, tratar de justificar algo que no se debe esta mal y le da risa al Cheliz.	joy	0.391
2018-Es-01863	Es que me dicen que comeré perche y se me pone una sonrisa de oreja a oreja❤️	joy	0.792
2018-Es-05817	Cantar y escuchar nuevas voces hace que la vida sea más emocionante..	joy	0.854
2018-Es-05324	@hills_fuck Tu argumento es invalido, ya vete a estudiar 	joy	0.190
2018-Es-04719	@KevenYHensy Yo que no soy su madre solo su fans estoy tan orgullosa de tener unos ídolos tan talentosos!!😍😍	joy	0.761
2018-Es-06154	Te quedo Rico Angela 😀 #MasterChefMx	joy	0.521
2018-Es-06414	Me dicen que no me ilusione pero soy tan terca que me estoy ilusionando  porque pues asi soy	joy	0.333
2018-Es-06857	@crlsmrt Es Nicaragua pero también pasa por Cartago 	joy	0.375
2018-Es-01254	@Sargentoleon @PremiosTuMundo ¡ A  VOTAR !  Todas las bendiciones y éxito , LeónHermozaa , ❤🙏👏 y  ¡SUERTE! 😍😘	joy	0.813
2018-Es-02727	No supero mas lo del sábado en él auto de Fer cuando nos agarro la policía 	joy	0.298
2018-Es-02005	@SuperIvo7 Estaría entretenida ...	joy	0.500
2018-Es-02932	Quiero ser la parte divertida de tu libro.	joy	0.409
2018-Es-02247	Que bien se siente pelear de nuevo, aunque esté bien tronco 	joy	0.438
2018-Es-00410	A las 8 me tengo que levantar y no puedo dormir 	joy	0.229
2018-Es-00149	Si me gusto la feria 😍	joy	0.708
2018-Es-04043	@valentinabz Un aplauso para la gente guevona.	joy	0.146
2018-Es-03653	Me imagino a los narcos yendo a la pape por sus cartulinas de colores 😂	joy	0.455
2018-Es-00260	@Lu_naiir @NatuliaNaty Amiga de mi hermano me encanta tu sonrisa❣	joy	0.792
2018-Es-01247	@rvenegasq Hoy todo es fake 	joy	0.146
2018-Es-01942	estoy bien feliz pero bien triste a la vez por qué ya casi termino mi serie :( es como que siiiii😬 pero noooooo 😢	joy	0.435
2018-Es-01643	@aliciaenp Ajajjaa somos del clan twitteras perdidas pa eventos "importantes" 	joy	0.542
2018-Es-01437	@1Ballesta1 nojoda que risa yo pq no te grabe ? ah verdad no tenía cel aún	joy	0.438
2018-Es-01944	@DebRyanShow @AlexXxStrecci #Rayito  jajajajaj siempre estar vestido así será algo bastante gracioso	joy	0.792
2018-Es-01316	10-A veces escribo en mayúscula para demostrar que estoy emocionado.	joy	0.591
2018-Es-03177	@MartinezTobias1 AAAAA feliz día loquito,te extrañoo	joy	0.604
2018-Es-02146	Hoy anduve re Chinito esto de la resaca jaj 	joy	0.438
2018-Es-03698	@rutty315 Muchas gracias Pequeña, que descanses... 😘 el sentimiento es Mutuo, mi venezolana Favorita 	joy	0.667
2018-Es-04460	cabros, sólo paso a contarles que estoy mas entretenido de lo que jamás hubiese pensado en estar hoy. Fin del comunicado.	joy	0.583
2018-Es-04309	@Aransafelix Jajajaj ya deja de citar nuestros tweets 	joy	0.783
2018-Es-01426	@lacayo_jassend Mi sentimientos idiota 	joy	0.109
2018-Es-04177	Yo soy aquel que camina orgulloso de sus cicatrices  Por que ellas me hacen saber que no  he vivido en vano...!	joy	0.563
2018-Es-03745	Que felicidad parce 😭😭 #JuanPabloJaramillo #XtiianZechTrendy #KCAMexico	joy	0.750
2018-Es-05977	La noche está bien, ahora, elevate hasta el cielo, hazme sonreír así para siempre.	joy	0.833
2018-Es-01001	LA VIDA  ES TAN BELLA  QUE  VALE LA PENA SONREÍR 😅	joy	0.813
2018-Es-05920	@IisMgbs Yo diría:  caída libre a la felicidad! Jeje 😂	joy	0.833
2018-Es-01298	Yo la engañaría con otras y ella lo sabría y no diría nada para poder seguir viviendo en mi casa gozando de mi fortuna.	joy	0.208
2018-Es-06024	@juryokuerromr Gracioso sería que lo hayan reservado justo ahora, tengo magia.	joy	0.563
2018-Es-03824	Una casita en la lunaaaaa ,con otro de fortuna bebeeee	joy	0.542
2018-Es-00602	También se antoja que me haga suya la dvd, pero ese ya es otro asunto 😊	joy	0.542
2018-Es-01061	@fabricelelous Yo tuve muy bonita compañía 😊	joy	0.583
2018-Es-00660	@LaPanteraAugust sos una persona muy agradable y muy graciosa!!! Amo juntarme con vos y tus amigos. Te quiero panterita 💖	joy	0.875
2018-Es-04254	Me hacen mucho bien esos videos jajajaja 	joy	0.854
2018-Es-04457	no tienen una idea de lo orgullosa q estoy de guanlin	joy	0.708
2018-Es-05526	@FloresconVeneno ¿contenta?    de nada pequeña Lulú,  Muchos abrazos para vos y tu beba	joy	0.636
2018-Es-01338	Check list: Boleta de @BrunoMars: ✅😍 Viaje de playa: ✅😍💜 #Felicidad	joy	0.958
2018-Es-05015	Cosquin, Tandil, Tucuman, Jujuy y Salta. Y todavia falta V. Gral Belgrano y Cataratas 😍 Creo que este  fue el año que mas viaje #felicidad	joy	0.891
2018-Es-03082	Lo lindo de sentir cerca a esa gente con la que compartiste tanto, eso es amistad! 😍 Soy una afortunada de tener a la gente que me rodea! ❤	joy	0.978
2018-Es-05685	@n_scout Prometo que el miércoles no me pasa 	joy	0.261
2018-Es-06758	Sé que soy capaz de mucho, pero la poca confianza en mí me juega una mala pasada y me hace volar bajo...	joy	0.250
2018-Es-03011	@kavegav Jajajaja para nada 	joy	0.563
2018-Es-03437	@babyqueenm Jajajaja no manches 	joy	0.604
2018-Es-00258	"Salimos" pone en la foto jajajajajajajajajaja, amo a mi mamá 	joy	0.870
2018-Es-03329	@Daniel_ChefMX así que tómalo como algo psicológico, no de gordura 	joy	0.163
2018-Es-01233	. Y tiene muchos chistes locales por lo que si no sabes nada de Japón como yo se vuelve más chistoso porque no entiendes nada de nada.	joy	0.542
2018-Es-03524	Niñas, quédense con quién les de perico,bareta y las trate mal.porque tranquilidad, respeto, comprensión, y compromiso no cualquiera. 😅	joy	0.396
2018-Es-03233	Cuando tenía 16 , veía a los de 25 como mayores , súper mayores , meeeega mayores ! 😆 ay papá!	joy	0.521
2018-Es-00349	¡FELIZ 20 DE JULIO!	joy	0.682
2018-Es-06806	@HeavyDirtyLine_ ¡¡¡FELIZ CUMPLEAÑOS!!! Fuiste una de las primeras personas que conocí y aunque casi no nos hablemos te tengo en mi corazón.	joy	0.771
2018-Es-00975	Ahora sólo me da miedo que mi vecina @prettyfreckles me vea en ropa interior en lo que pongo las cortinas 	joy	0.205
2018-Es-06185	"agustina es la primera vez que sale y no está contenta eso xq no va algún chongo de ella seguro" Chicas basta.	joy	0.167
2018-Es-02393	@MrkHdz El chiste es ayudar colega! En todos lados es bueno 🙌 por eso me caes reeeeeebien 😊	joy	0.688
2018-Es-02791	@D99Radio @enjambremx @enjambremx @D99Radio Samantha Sofía Elizondo Gzz 👉👈 😅 😅😅 #SiTePreguntanSoloD99	joy	0.543
2018-Es-04316	@Barby_kinomoto Jajajjaa no 😢 bueno pero despuesito vale 	joy	0.375
2018-Es-03555	@JHopeMex 😍😍😍 Jin se coló 	joy	0.477
2018-Es-01843	extraño messenger era divertido	joy	0.229
2018-Es-00193	@millarayfgh Que eres chistosa😂😂😂	joy	0.729
2018-Es-00062	@bellapussyxxx he aprendido a ser menos egoísta y más tragon gracias a ti, así que cuenta conmigo para todo 	joy	0.542
2018-Es-01887	@maryel_rc Como yo 	joy	0.348
2018-Es-06770	@framsnunez_ De teh quiz teh quiz 	joy	0.250
2018-Es-04271	Nos pusimos a guliar fiambre con las pibas y mayo 	joy	0.375
2018-Es-00041	Ya estaba emocionada de tener roomie 🙄	joy	0.478
2018-Es-03683	@Ignacho_LFC Ya está 	joy	0.304
2018-Es-06069	@JAlejandroBM JAJAAJAJ totalmente tu 	joy	0.604
2018-Es-06632	@_julipinto yo se q no es gracioso pero me rei t amo	joy	0.565
2018-Es-01855	Sé que revisas mi perfil así mira esto MI AMOR! #FELIZ #PorelMundo #contigoemtodolado	joy	0.652
2018-Es-03079	Su sonrisa es perfecta 	joy	0.652
2018-Es-05594	Hoy he puesto la carretera de chiclana-Medina-puerto real!!! Ya hoy me puedo dar por satisfecha!	joy	0.790
2018-Es-01839	Me usaron de amuleto sin que yo sepa y central perdió 4-0 	joy	0.188
2018-Es-04946	Muriéndome de sueño pero aquí ando y mañana me despierto a las 5 AM, muy bien Eveleen 	joy	0.313
2018-Es-01354	Ya no se difenciar un festivo de un día normal :( que rutinaria mi puta lífe	joy	0.130
2018-Es-04667	No me gusta leer fics donde los Cullen y Bella son vampiros, pero me acabo d encontrar uno, ya me leí 3 caps y me esta gustando 😆	joy	0.458
2018-Es-02405	Hace una hora esta x venir a buscarme 	joy	0.408
2018-Es-06723	"Queee pesados están los atunes"  -Mi hermana acomodando los viveres en la escuela 	joy	0.292
2018-Es-03352	cuando estaba en el colegio en el recreo me ponía con mis amigas a pedirle 100 pesos a todo el que pasará y terminabamos con cule merienda 	joy	0.458
2018-Es-01626	como sabrá que la amas ahre estoy viendo encantada	joy	0.625
2018-Es-01918	@Ricardo10y9 Te gusta como juega ALIANZA?	joy	0.438
2018-Es-04429	@YoSoyAlita Amiga sería mega genial que puedas ir a ese lugar el 26!🙈🙊, esperemos que si se cumpla tu deseo!😉	joy	0.625
2018-Es-03178	@Gabymarr_10 Jajaja chistosa 😂😂😂😂 En nuestro caso no aplica eso jajajaja	joy	0.652
2018-Es-05139	@KevenYHensy Hasta Yo Estoy Orgullosa😍	joy	0.688
2018-Es-02519	@novaimperio @ROYALE_ARGENTO @CCRCUP Y para q lo hacen si concuerdan? 	joy	0.458
2018-Es-06761	Yo no hago las cosas para "callar bocas", yo las hago por satisfacción propia, locas.	joy	0.458
2018-Es-01606	A mi familia le debo todo, desde mis fracasos hasta mis triunfos. #Fav #RT #FF #UnaVidaPk #felicidad #familia	joy	0.688
2018-Es-04753	@wichouya Que diosito te escuche jaja 	joy	0.583
2018-Es-00065	Me voy de viaje el domingo y no estoy emocionada, bueno solamente por toda la comida que comeré 🤤	joy	0.521
2018-Es-00622	@IvanMarquezFARC Llena de satisfacción y orgullo a la Colombia de gente buena, no a la Colombia de hijos de puta asesinos como usted...	joy	0.438
2018-Es-00418	@Camila_Cabello @BrunoMars ESTOY ORGULLOSO DE Tİ ❤👏	joy	0.750
2018-Es-01745	@_HijaDeMiMadre Ahhh jajaj leí "yo quería dormir hoy" 	joy	0.545
2018-Es-04908	Cuando te llaman de apple y te cambian el dia 😊 #alegria	joy	0.958
2018-Es-01315	Y después a lo de mi padrino que es el cumple 😄	joy	0.667
2018-Es-03566	No tengo wifi y no me descargue ninguna serie para ver, entonces me toca acostarme "temprano" y eso que mañana es festivo.  Odio todo	joy	0.043
2018-Es-04582	2. Solo a dos 	joy	0.364
2018-Es-06141	@Jseute Las mejores personas llegan sin buscarlas.  😄	joy	0.542
2018-Es-02599	Las cumbias son las q rifan. 	joy	0.417
2018-Es-03503	@sopitas Ahora sabemos porque tan sonriente en las fotos, seguramente decía pobres pendejos los que creen esto	joy	0.292
2018-Es-03681	✴Feliz Día ✴  para quienes se considera un amigo..	joy	0.542
2018-Es-01833	Esto del fin del mundo ya es como Juanito y el lobo, un día de estos ya no vamos a creer y boom desintegrados 	joy	0.292
2018-Es-03584	Oliver habla español muy chistoso.	joy	0.478
2018-Es-02291	En Twitter somos expertos en cardamomos excepto por el carda, solo momos. 😂 #MasterChefMx	joy	0.438
2018-Es-06302	Yo amo el grupo 	joy	0.787
2018-Es-04958	@MundoQuemero habia una cancion que decia  HAY VIENE EL NEGRO RAMON BAILANDO ALEGRE EL BAYON	joy	0.542
2018-Es-04427	Que ponga la foto que quiera con quien quiera. Ya no me importa 	joy	0.104
2018-Es-02462	La felicidad no consiste en todo tener, sino en saber sacar lo bueno que te da. #Fav #RT #FF #UnaVidaPk #felicidad	joy	0.609
2018-Es-03253	(...) que vos muchachita sigas alegre y dolorida  poniendo en tus ojos el alma  y tu mano en mi mano."  Mario Benedetti	joy	0.438
2018-Es-02774	@IchB0nerge ¿Cuál? ¿El fin del mundo o el sexo? 	joy	0.396
2018-Es-03717	Odio matemáticas pero él es una bonita vista 	joy	0.250
2018-Es-03779	@Eduardo_GarzaT Ventura Knight, me gusta mucho, saludos	joy	0.614
