ID	Tweet	Affect Dimension	Intensity Class
2018-Es-01709	Estoy tan aburrido en estas vacaciones que soy capaz de irme a la mierda por ahí un par de días. Estoy viendo Colón entre rios.	sadness	1: se infiere un bajo grado de tristeza
2018-Es-06561	Ya estoy en mi casa, ya le puedo llorar a @ChesterBe 😭	sadness	2: se infiere un grado moderado de tristeza
2018-Es-05808	Soy el terrible farsante oe	sadness	1: se infiere un bajo grado de tristeza
2018-Es-00185	Que bien me hace hablar con gente que siempre estuvo y está conmigo a pesar de todo 😌👏🏻	sadness	0: no se infieren niveles de tristeza
2018-Es-04206	Ya se me pasó la pena	sadness	1: se infiere un bajo grado de tristeza
2018-Es-06210	@NatashaCoronel No es nio tan grave, no se le desea que se le descomponga la ducha ni a tu peor enemigo 💔	sadness	1: se infiere un bajo grado de tristeza
2018-Es-06839	@AllDiscourages_ Por tu culpa me he acordado del crush y #tristeza	sadness	2: se infiere un grado moderado de tristeza
2018-Es-00859	Dichosas las niñas que no tienen las axilas manchadas jajaja 😟	sadness	0: no se infieren niveles de tristeza
2018-Es-01976	Mi abuelo es un peligro 😅🎬	sadness	0: no se infieren niveles de tristeza
2018-Es-04435	Día tan re aburrido u_u	sadness	1: se infiere un bajo grado de tristeza
2018-Es-00429	Detesto que me consuelen "por pesar"	sadness	3: se infiere un grado alto de tristeza
2018-Es-06762	Crecí escuchando  Linkin Park y verdaderamente hoy es un día trágico para la música en general #RIPChester Gracias por mi gran infancia	sadness	2: se infiere un grado moderado de tristeza
2018-Es-03720	Ánimo ya mero es viernes, solo falta un día, no menos como cinco😂 #Copiado #Peña	sadness	0: no se infieren niveles de tristeza
2018-Es-02083	Yo y mi suerte para cruzarme con chabones con hijas y las hermosas madres celosas👏👏😡	sadness	1: se infiere un bajo grado de tristeza
2018-Es-01925	Muchos entre mas tienen mas ambicionan y los pies se les alejan de la tierra por que ya no les importa que les pase a los demas egoistas 	sadness	1: se infiere un bajo grado de tristeza
2018-Es-03309	Es terrible lo de Chester Bennington. No lo puedo creer todavia. Gracias por llenar mis oidos en los años donde aprendí a amar la musica	sadness	2: se infiere un grado moderado de tristeza
2018-Es-06794	@Vale_Karumi ES QUE EL MUY HDP SÓLO PIENSA EN LOS JAPONESES AGFHSBFDHDGDGFGDF  Siempre pasa algo viendo debería dormirme temprano 	sadness	1: se infiere un bajo grado de tristeza
2018-Es-04984	tengo tanta bronca junta q voy a terminar llorando lpm	sadness	3: se infiere un grado alto de tristeza
2018-Es-03916	Soy muy impulsiva, en el momento que me enojo digo cosas que después me termino arrepintiendo	sadness	1: se infiere un bajo grado de tristeza
2018-Es-06378	Estoy aburrida .. quiero hacer algo!!!	sadness	0: no se infieren niveles de tristeza
2018-Es-04078	Qué más me da no tener clase si me despierto a las 7 igualmente 😥	sadness	0: no se infieren niveles de tristeza
2018-Es-05611	@mgallegos_ Que Grave eres, estoy tan contenta que no pienso responder si no sabes el contexto de las cosas no opines. .	sadness	0: no se infieren niveles de tristeza
2018-Es-01979	Quiero mirar la serie 😭	sadness	1: se infiere un bajo grado de tristeza
2018-Es-01112	GRACIAS POR TANTO, PERDÓN POR TAN POCO 😭 #TeenWolfFinale	sadness	1: se infiere un bajo grado de tristeza
2018-Es-03623	@fgavilla @SCT_mx @galaTVMorelos veo mal o se ve hundido...?	sadness	0: no se infieren niveles de tristeza
2018-Es-02955	Porque demoran en Venirme a buscar?😠😠😅	sadness	1: se infiere un bajo grado de tristeza
2018-Es-02650	@a_tupper Un gran deportista, maldita depresión también se llevó a mi hermana menor.	sadness	3: se infiere un grado alto de tristeza
2018-Es-00213	es muy frustrante practicar y practicar en tu instrumento y que no sientas mejora alguna, de verdad me pone triste eso 😥	sadness	3: se infiere un grado alto de tristeza
2018-Es-04373	@losmartines Vamoooos #PeñA!!! El coach está demostrando que es gigante!!!#Leo	sadness	0: no se infieren niveles de tristeza
2018-Es-00903	@darksbanana Deprimida estoy.	sadness	3: se infiere un grado alto de tristeza
2018-Es-00929	son como Juan Carlos sacando una tirada de engaño tres para envenenar a alguien "toma este veneno DIGO... ESTA FANTA"	sadness	1: se infiere un bajo grado de tristeza
2018-Es-01155	Cómo justificáis el desprecio de Carmena al #HomenajeBlancoEP? Cómo podéis decir que Otegi es un luchador por la paz? Os importa ofender?	sadness	1: se infiere un bajo grado de tristeza
2018-Es-05656	@osoriojdanielp no joda eso sí da rabia hp	sadness	1: se infiere un bajo grado de tristeza
2018-Es-03213	Culiaoooooo perdió juventuuuuuud	sadness	0: no se infieren niveles de tristeza
2018-Es-04370	A veces siento la necesidad de hablarle sabiendo que está tan mal porque a pesar de todo me duele aún, lo que le pase y dejé de pasar.	sadness	3: se infiere un grado alto de tristeza
2018-Es-04037	@diegosaviola10 @Equidadfutbol @AmericadeCali Sufriendo y con la contención en el banco, perdió america por la terquedad de el Dt	sadness	1: se infiere un bajo grado de tristeza
2018-Es-05929	Hoy me sentí como mi ídolo, si como Julio César Chavez Jr. En su pelea con el Canelo.	sadness	0: no se infieren niveles de tristeza
2018-Es-02544	@Natalistica que miedo jajaja	sadness	0: no se infieren niveles de tristeza
2018-Es-03093	Por que sorete me dejas tan nerviosa no se AAAAAAAAAAAAAH me voy a morir(?????ahr si	sadness	2: se infiere un grado moderado de tristeza
2018-Es-03204	No se, que hago todavía despierta 😟	sadness	0: no se infieren niveles de tristeza
2018-Es-03923	Cada vez que tengo que caminar y podría estar manejando el auto me enojo conmigo misma	sadness	1: se infiere un bajo grado de tristeza
2018-Es-05447	Qué tristeza sentir que uno no es suficiente para nada ni para nadie. Meh, matenme que ya ni yo me aguanto.	sadness	3: se infiere un grado alto de tristeza
2018-Es-00004	¿Por qué no cancelan clases en mi escuela? No hice la exposición 	sadness	0: no se infieren niveles de tristeza
2018-Es-00556	Debora P Volpin, 50 años, acaba de darse cuenta de la pobreza /conventillos, a pesar de que era conductora, NO PERIODISTA. En A fuego lento	sadness	2: se infiere un grado moderado de tristeza
2018-Es-06103	Quizás hoy si te pueda encontrar. Mas allá de toda pena, siento que la vida es buena...	sadness	0: no se infieren niveles de tristeza
2018-Es-00721	@ghiskon no, no ofendido no jaja pero no saludarme....😂😂	sadness	0: no se infieren niveles de tristeza
2018-Es-04358	Cuando viva sola voy a pesar 300 kg	sadness	0: no se infieren niveles de tristeza
2018-Es-06674	No han sacado nada de Banri ni Itaru y me siento muy indignada.	sadness	2: se infiere un grado moderado de tristeza
2018-Es-02229	yo no soy de amenazar me gusta hablar con echossssss...	sadness	0: no se infieren niveles de tristeza
2018-Es-05721	Estoy a tres episodios de acabar Futurama 🙁	sadness	0: no se infieren niveles de tristeza
2018-Es-05295	K M D, puro y oscuro como el eme de, empezalo a mover, nena no seas tímida, se que querés.	sadness	0: no se infieren niveles de tristeza
2018-Es-04349	🙏 dios esta conmigo 😞💔: me siento deprimida	sadness	3: se infiere un grado alto de tristeza
2018-Es-04184	Miedo de llevar a mis pequeñas  ala escuela 😟 sus	sadness	2: se infiere un grado moderado de tristeza
2018-Es-06255	@Seargee Pero es que a mi me gusta VLC 😥 pero si ya abri bs player :(	sadness	0: no se infieren niveles de tristeza
2018-Es-04807	@GusMenFox @clubleonfc Muy feo!! Horrible se ve la publicidad !!	sadness	0: no se infieren niveles de tristeza
2018-Es-00568	@RamsesGirala Pero que pez amargo que sos...	sadness	0: no se infieren niveles de tristeza
2018-Es-01741	Siempre sale uno enojado cuando jugamos a la lotería😂	sadness	0: no se infieren niveles de tristeza
2018-Es-04988	Descansa en paz abuelito. Te me fuiste de un día para el otro💔 yo sé que estabas cansado, pero nos dejaste muy pronto...	sadness	3: se infiere un grado alto de tristeza
2018-Es-06038	Por qué los putos de @TwitterSupport me suspendieron mi cuenta @xhisho 	sadness	1: se infiere un bajo grado de tristeza
2018-Es-03182	@tomacuaquer @caritocabrera28 Te creo a veces pasan esas cosas #miedo	sadness	1: se infiere un bajo grado de tristeza
2018-Es-01083	Estoy re nervioso con este tema	sadness	1: se infiere un bajo grado de tristeza
2018-Es-06474	Espero qe todo este esfuerzo sirva de algo , estoy muy cansado	sadness	1: se infiere un bajo grado de tristeza
2018-Es-00056	No quiero ir mañana a la escuela 	sadness	0: no se infieren niveles de tristeza
2018-Es-06602	Pelea con mi mama #triste	sadness	3: se infiere un grado alto de tristeza
2018-Es-04880	@Javelez12 Jajajajaj no pana lo veo grave a páginas por casualidad no se metió a youtube?	sadness	0: no se infieren niveles de tristeza
2018-Es-00992	Que horrible dormir con pantalon lpm	sadness	1: se infiere un bajo grado de tristeza
2018-Es-03020	@iharting @MeOpongoVenz Más que infeliz un CDEM	sadness	2: se infiere un grado moderado de tristeza
2018-Es-00095	@iharting @Jullietbanda "infeliz" no es la palabra que mejor se adapta pero usted es una persona educada.	sadness	1: se infiere un bajo grado de tristeza
2018-Es-03554	@clarymaffeis boluda en serio no sabias es como la primer cosa de la q te enterás cuando entras a la secundaria	sadness	0: no se infieren niveles de tristeza
2018-Es-03866	La mejor arma es la que transforma el pesimismo en optimismo.	sadness	0: no se infieren niveles de tristeza
2018-Es-03965	@UnboxMeSpain una pena aunque yo no escuche su música,es simplemente trágico que muera alguien	sadness	2: se infiere un grado moderado de tristeza
2018-Es-00999	Los dos queremos pero nos mata la cobardía !!!	sadness	1: se infiere un bajo grado de tristeza
2018-Es-05876	@Mickey_Dozanti Lamentable para mi, no creo que sea posible vernos, y eso si me pone sad. 😢💔 Igual se divierten y la pasan bonito. 😃❤✨	sadness	3: se infiere un grado alto de tristeza
2018-Es-00472	Tu cuerpo será mío, te llevare a la cama, te haré sudar y temblar. Te dejaré sin fuerzas. —Att: La gripe.	sadness	0: no se infieren niveles de tristeza
2018-Es-03294	Le tomo mucha importancia a las bandas que escuchó, porque sus canciones me han ayudado a salir en momentos de tristeza, me han motivado.	sadness	2: se infiere un grado moderado de tristeza
2018-Es-04677	Sanguíneos en muchos casos. Se indica SIEMPRE que las pastillas pueden provocar trombosis y tienen otros efectos secundarios.	sadness	0: no se infieren niveles de tristeza
2018-Es-01126	@BNE_biblioteca @PostigoElena ...para gran disgusto de Quevedo 😝	sadness	0: no se infieren niveles de tristeza
2018-Es-01016	@pajeranger Ay si, automaticamente al leer el mensaje más frívolo del mundo algún depresivo seguro se salva jajaja	sadness	0: no se infieren niveles de tristeza
2018-Es-04322	No Lo Saben Pero esa chica me está gustando demasiado... Aún sabiendo que jamás pasará algo... 😢	sadness	1: se infiere un bajo grado de tristeza
2018-Es-01914	@hramosallup tristemente ya dond este ud,rosales, y combo se relaciona con conveniencia d partido, osea +d lo mismo	sadness	2: se infiere un grado moderado de tristeza
2018-Es-06155	@teamlibertywalk @forumpandlr Ah, vdd, so de ver a make ja fico cansada de imaginar	sadness	0: no se infieren niveles de tristeza
2018-Es-05212	Ese momento de desesperación cuando no encuentro un emoji	sadness	1: se infiere un bajo grado de tristeza
2018-Es-04234	@Lovelyccano 😞 era en serio. Lo eres	sadness	0: no se infieren niveles de tristeza
2018-Es-00745	Lo único que me esta saliendo bien este año es engordar 	sadness	2: se infiere un grado moderado de tristeza
2018-Es-01385	@DalasReview me encanta la terrible hipocresia y doble moral que tiene esta gente, claro, cuando ella te lo quita ILEGALMENTE no importa...	sadness	2: se infiere un grado moderado de tristeza
2018-Es-05784	Que aburrido esta este bar	sadness	1: se infiere un bajo grado de tristeza
2018-Es-03928	Como estoy odiando este insomnio 😥	sadness	1: se infiere un bajo grado de tristeza
2018-Es-06309	@maknaexnochu aga pa 	sadness	0: no se infieren niveles de tristeza
2018-Es-00300	Necesito q alguien q me abrace fuerte y no me suelte mas 	sadness	3: se infiere un grado alto de tristeza
2018-Es-06075	Quejarse de los spinners es igual de pendejo que usarlos.	sadness	0: no se infieren niveles de tristeza
2018-Es-06432	Soñé cosas super raras 	sadness	0: no se infieren niveles de tristeza
2018-Es-03229	que aburrido que estoy la re puta madre	sadness	1: se infiere un bajo grado de tristeza
2018-Es-03727	Con las semanitas agetreadas que llevo y el cansancio acumulado...me he ganado un vinito. Chin chin, salud y todo eso #BuenasNoches 🍷🍷	sadness	0: no se infieren niveles de tristeza
2018-Es-00683	Hace 2 noches me siento una abuela por dormirme a las 11 pero el cansancio que tengo es inexplicable.	sadness	1: se infiere un bajo grado de tristeza
2018-Es-04562	El pueblo le pasa por ensima a la mud y sin conducción este espiral de violencia se volverá muerte y mas muerte lamentablemente	sadness	3: se infiere un grado alto de tristeza
2018-Es-03222	Oks estoy r3 cansado ganas de dormir y fue	sadness	0: no se infieren niveles de tristeza
2018-Es-03161	YO CREO que el único corto de casita del horror con kodos y kang que vale la pena es cuando maggie resulta ser su hija.	sadness	0: no se infieren niveles de tristeza
2018-Es-04137	La alarma de mi celular es re fea y ya me tiene re podrido en cualquier momento lo voy a revolear hasta la peron	sadness	0: no se infieren niveles de tristeza
2018-Es-01530	@letyduranhdez Mira tu niña aburrida cuando tiene una super nieta y nieto...no es para aburrirse😂😂	sadness	0: no se infieren niveles de tristeza
2018-Es-00860	Quiero que me apapachen 🙁	sadness	1: se infiere un bajo grado de tristeza
2018-Es-02605	Horrible lo que me pasó recién, no voy a poder dormir tranquila	sadness	2: se infiere un grado moderado de tristeza
2018-Es-04645	@MiguelMikegto8 Qué bueno no han sido graves, acá estamos bien espantados todos, no me quiero imaginar en Oaxaca o Guerrero 🙁	sadness	2: se infiere un grado moderado de tristeza
2018-Es-03391	@terko2013 @fffnav @rfeiBJ @Gregoriodalbon @Pontifex_es @CFKArgentina Vi imágenes de que tiran la leche en campo !!eso es terrible!!!	sadness	1: se infiere un bajo grado de tristeza
2018-Es-01110	*Nunca tuviste tu corazón con las iniciales tuyas y de un muchacho ? -Nonon, me mataba!  *En serio me decís?  -Si obvio!  Lo más grasa	sadness	1: se infiere un bajo grado de tristeza
2018-Es-01794	Me puse a escuchar spring day mientras comía papas fritas y terminé llorando me supero cada día	sadness	3: se infiere un grado alto de tristeza
2018-Es-05374	Estoy bien triste 😭	sadness	3: se infiere un grado alto de tristeza
2018-Es-01346	Me pronostican lluvia toda la semana. #Depresión	sadness	3: se infiere un grado alto de tristeza
2018-Es-04444	Hoy le compre un regalo a mi ahijada, y la mina me dice "cuanto tiene tu beba" pero por dios q mujer desagradable jajajajaj	sadness	0: no se infieren niveles de tristeza
2018-Es-05882	Me pone de mal humor hacer maletas 😤	sadness	1: se infiere un bajo grado de tristeza
2018-Es-05440	Que mh wacho 	sadness	0: no se infieren niveles de tristeza
2018-Es-04301	@gvvvalentino uff, terrible	sadness	1: se infiere un bajo grado de tristeza
2018-Es-01370	Estoy aburrido, tengo hambre y me siento solo. Send taquitos	sadness	3: se infiere un grado alto de tristeza
2018-Es-06502	No es agradecimiento con Torres: semifinal en descenso directo y hoy perdió con el equipo mejor armado. Pero bueno, quizá quieren un CheChe.	sadness	0: no se infieren niveles de tristeza
2018-Es-01531	Aquí el más depresivo.¿	sadness	2: se infiere un grado moderado de tristeza
2018-Es-05981	Maradona puede opinar lo que quiera cabros, yo no puedo opinar de lo que dijo. porque el pobre estaba tan drogado que no le entendí nada 	sadness	0: no se infieren niveles de tristeza
2018-Es-05150	@julietaortiva q tristeza we JAJAJAAJ	sadness	0: no se infieren niveles de tristeza
2018-Es-06935	Ese tema de que Leo Castro está ansioso y por eso no marca ni por error ya no se lo traga ni tu Abuela; El nivel es PERVERSO!!	sadness	1: se infiere un bajo grado de tristeza
2018-Es-03984	@c_milo2 Y es que de cuando acá necesitas de novio para ser feliz ? Pfff estas grave Pepe	sadness	1: se infiere un bajo grado de tristeza
2018-Es-06522	Hoy me contaron "historias de horror en un parto en el seguro social" jajajajajajaja y neta no puedo estar más agradecida con Dani...	sadness	0: no se infieren niveles de tristeza
2018-Es-01203	Tremendo estalcaso con mg incluido jaja	sadness	0: no se infieren niveles de tristeza
2018-Es-03411	Alguien sabe qué pasa con el Anexo del hospital Francés de la Av Honorio Pueyrredón q supuestamente pertenece al PAMI y está abandonado?	sadness	1: se infiere un bajo grado de tristeza
2018-Es-00559	@Gonzatraverso22 Quiero saber quien	sadness	0: no se infieren niveles de tristeza
2018-Es-02925	ay nooo que horrible... me acordé cuando me pasó lo mismo hace como dos años ajjajajajaja	sadness	0: no se infieren niveles de tristeza
2018-Es-04044	Que desgradable no poder dormir y tener que estar en pie en unas horas 	sadness	2: se infiere un grado moderado de tristeza
2018-Es-03999	@violekraut cuando quieras lisiada ;)   terminé de leer el tuit y se me autoguiño el ojo #miedo	sadness	0: no se infieren niveles de tristeza
2018-Es-04914	una compañera del colegio subió la foto de su bebé y parecía tener una tenaza en vez de pie 	sadness	0: no se infieren niveles de tristeza
2018-Es-00908	@elcapiperez ¡ay no digas que la lucha libre es mentira! El niño Dios va llorar y yo también 	sadness	1: se infiere un bajo grado de tristeza
2018-Es-03279	tipo no sé si es peor que se lleven muy mal y sea incómodo o que se lleven muy bien y vos termines solx	sadness	1: se infiere un bajo grado de tristeza
2018-Es-00036	@infobae Apuesto que no sale!!alguien se va a ofender, a alguien no le va a cerrar el proyecto xq ñañaña	sadness	0: no se infieren niveles de tristeza
2018-Es-05031	feliz día del amigo a la persona que perdió 200 pesos en la casey para que los encuentre yo. que sepa que la amo	sadness	0: no se infieren niveles de tristeza
2018-Es-04748	ESTÁN LLOVIEEEENDO ESTRELLAS EN NUESTRA HABITACIÓNNN MOJAN DE LLANTO, MI CORAZÓNNN	sadness	2: se infiere un grado moderado de tristeza
2018-Es-05576	@losmartines Tirando facha el coach!!! Vamos hoy #PeñA!!!	sadness	0: no se infieren niveles de tristeza
2018-Es-03311	La silla de Annabelle se mueve sola o la está moviendo? @chekozaun @disparamargot @Horacitu @ximenadelam @szurita @faustoponce  #miedo 😖	sadness	1: se infiere un bajo grado de tristeza
2018-Es-01999	peleo para terminar llorando	sadness	2: se infiere un grado moderado de tristeza
2018-Es-05501	Hoy en verdad terminé súper cansada😌	sadness	1: se infiere un bajo grado de tristeza
2018-Es-02436	@ObservadBinario @nakamartinez Berro larguísima!! Todo esta muy tétrico esto va mas allá de tensa calma	sadness	1: se infiere un bajo grado de tristeza
2018-Es-03246	A veces me gusta ser chocante	sadness	0: no se infieren niveles de tristeza
2018-Es-05453	@Bamf_ Pues es mejor una siesta improvisada que un video que por cansancio improvisado quizá cueste hacer jaja	sadness	0: no se infieren niveles de tristeza
2018-Es-05731	Muero por un abrazo de mi mamá y de Priscila !! La extraño demasiado 	sadness	3: se infiere un grado alto de tristeza
2018-Es-06630	No pensé que correguir exámenes fuera tan pinche cansado 	sadness	0: no se infieren niveles de tristeza
2018-Es-04717	Mariscales 10 Tiburones 1. Gano Yesid Salazar. Perdió Ramón Ulacio. Destacado Edgar Muñoz de 4-3, 1 anotada y 2 impulsadas.	sadness	0: no se infieren niveles de tristeza
2018-Es-02866	que asco la gente que esta tweeteando canciones de linkin park para sacar un par de rts, me parece desagradable.	sadness	2: se infiere un grado moderado de tristeza
2018-Es-01801	Es lunes y yo no puedo dormir 	sadness	0: no se infieren niveles de tristeza
2018-Es-06918	Que buena partida la ctm, quede con el medio hype pero no creo resistir a ver a fanatic 	sadness	0: no se infieren niveles de tristeza
2018-Es-02558	HT contra los historicos, perdió (Millos, SF, Calix2), empato (medellin, nacional, cali), gano (junio, cali). Osea mal. Solo 9 pts de 27.	sadness	0: no se infieren niveles de tristeza
2018-Es-05902	Informe del acto: se trata de quema de basura y escombro, sin peligro de propagación, se trabaja @PrimeraCoquimbo @Cuarta_Coquimbo	sadness	0: no se infieren niveles de tristeza
2018-Es-02984	@notthefrozenguy @6baphomet Me estoy tomando el auto-odio muy en serio!!	sadness	2: se infiere un grado moderado de tristeza
2018-Es-04386	No caigo todavía, quiero escuchar Meteora pero seguramente me largue a llorar	sadness	2: se infiere un grado moderado de tristeza
2018-Es-04617	Yo quiero que @JEYMAMMON sea mi amigo. En serio. Lo quiero ❤️	sadness	0: no se infieren niveles de tristeza
2018-Es-05624	@marcelofh60 Por qué 😢	sadness	0: no se infieren niveles de tristeza
2018-Es-02026	Esa desesperación cuando se te escapa un like y lo sacas al toque😂	sadness	0: no se infieren niveles de tristeza
2018-Es-00731	@ponchito_rubio Es el requisito número uno para ser papás we jajajaja echarse un caldazo hirviendo para combatir fuego con fuego. 🔥	sadness	0: no se infieren niveles de tristeza
2018-Es-00411	Estoy tan aburrida que tengo ganas de hacerme amiga de alguien, si, a ese extremo llegó jajajaja	sadness	0: no se infieren niveles de tristeza
2018-Es-06653	Hoy me dispongo a ver el partido para distraerme de la depresión de no haber ido al MAT🙂🙂	sadness	2: se infiere un grado moderado de tristeza
2018-Es-06283	Terrible asado con los pibesss	sadness	0: no se infieren niveles de tristeza
2018-Es-03890	@alfreserramanci @CELAGeopolitica @pagina12 @teleSURtv Terrorismo es lo que practicas tu en Venezuela, miserable!!	sadness	1: se infiere un bajo grado de tristeza
2018-Es-02992	@lilycaulfield que cuando estas deprimido severamente no se te ocurre algo tan simple como decir QUE PENDEJADA ESTOY PENSANDO	sadness	2: se infiere un grado moderado de tristeza
2018-Es-02107	@JSantrich_FARC Ganó o perdió peso?	sadness	0: no se infieren niveles de tristeza
2018-Es-00706	vivo cansada como que el cansancio ya es parte de mi, me acostumbre	sadness	1: se infiere un bajo grado de tristeza
2018-Es-00584	Ojalá hubiese sido algo mas grave, así tal vez se haya preocupado por mi.	sadness	2: se infiere un grado moderado de tristeza
2018-Es-06738	No puedo dormir otra vez y mañana tengo escuela. 😟	sadness	1: se infiere un bajo grado de tristeza
2018-Es-03166	@RobertGarciaP ustedes mismo son los que están matando a su propia gente eso si es lamentable lo que están haciendo	sadness	2: se infiere un grado moderado de tristeza
2018-Es-03089	@amparychilena @Cooperativa Tipico de amargada,que triste tu vida pabree,y tontorrona🙊	sadness	2: se infiere un grado moderado de tristeza
2018-Es-04924	q hermosas prsonas conoci gracias a mis idolos y hoy son mis amigos, voy a llorar quien diría q las mejores personas las iba a encontrar aca	sadness	0: no se infieren niveles de tristeza
2018-Es-05193	@chelinsarc Lamentablemente estos cadáveres dirigen nuestro país	sadness	2: se infiere un grado moderado de tristeza
2018-Es-04881	Ya nose más ni que pensar con todo esto 	sadness	1: se infiere un bajo grado de tristeza
